Player Name, Final Player Plumage ,Accumulated Attempt to hit,Accumulated PlayerHit Number,Accumulated PlayerHitReceived Number,Accumulated Player Standing Still Time,Zone A: Accumulated Hit Attempt,Zone B: Accumulated Hit Attempt,Zone C: Accumulated Hit Attempt,Zone D: Accumulated Hit Attempt,Mid Circle Zone: Accumulated Hit Attempt,Level: TrainingGround,Time: 25/4/2024 4:18:03 PM
Player Red,1,37,4,8,2.041064,13,3,2,2,17,,
Player Blue,7,62,8,4,0.8225163,13,7,6,13,23,,
Player Yellow,1,20,5,7,1.462912,2,3,5,5,5,,
Player Green,3,51,8,6,1.040126,14,9,4,8,16,,
Player Name, Final Player Plumage ,Accumulated Attempt to hit,Accumulated PlayerHit Number,Accumulated PlayerHitReceived Number,Accumulated Player Standing Still Time,Zone A: Accumulated Hit Attempt,Zone B: Accumulated Hit Attempt,Zone C: Accumulated Hit Attempt,Zone D: Accumulated Hit Attempt,Mid Circle Zone: Accumulated Hit Attempt,Level: ArenaA_AsymmetryV2,Time: 25/4/2024 4:21:04 PM
Player Red,1,24,1,3,1.183237,6,4,0,5,9,,
Player Blue,9,39,8,2,0.9448926,7,7,0,10,15,,
Player Yellow,1,11,2,4,4.265265,3,1,0,3,4,,
Player Green,1,23,4,6,1.347112,7,2,0,4,10,,
Player Name, Final Player Plumage ,Accumulated Attempt to hit,Accumulated PlayerHit Number,Accumulated PlayerHitReceived Number,Accumulated Player Standing Still Time,Zone A: Accumulated Hit Attempt,Zone B: Accumulated Hit Attempt,Zone C: Accumulated Hit Attempt,Zone D: Accumulated Hit Attempt,Mid Circle Zone: Accumulated Hit Attempt,Level: ArenaB_AsymmetryVerticality,Time: 25/4/2024 4:23:03 PM
Player Red,2,7,2,3,0.8645303,1,1,0,1,4,,
Player Blue,1,23,3,5,0.6211739,2,5,0,4,12,,
Player Yellow,0,13,4,7,0.9426283,1,2,0,3,7,,
Player Green,9,15,6,0,0.1888715,0,5,0,5,5,,
