Player Name,Player Position x,y,z, Player Plumage ,Status,Accumulated Player Engagement,Accumulated PlayerHit Number,Accumulated PlayerHitReceived Number,Accumulated Player Standing Still Time,Time: 11/4/2024 4:13:33 PM
Player Blue,(34.89,0.72, 21.71),7,ENGAGE_IN_COMBAT,18,5,1,3.254268,
Player Green,(23.75,0.68, 9.02),2,I_HIT_SOMEONE,18,1,2,12.83167,
Player Yellow,(26.84,0.63, 9.51),0,I_GOT_HIT,13,2,5,3.620992,
Player Red,(39.83,0.69, -18.19),3,ENGAGE_IN_COMBAT,20,4,4,7.28533,
Player Blue,(34.16,0.72, 12.63),6,I_GOT_HIT,20,5,2,3.254268,
Player Green,(28.92,0.71, 11.12),3,I_HIT_SOMEONE,19,2,2,12.83167,
Player Yellow,(23.54,0.67, 3.68),0,ENGAGE_IN_COMBAT,13,2,5,3.620992,
Player Red,(6.51,0.69, -48.43),3,ENGAGE_IN_COMBAT,20,4,4,7.28533,
Player Blue,(9.24,0.69, -30.82),6,ENGAGE_IN_COMBAT,21,5,2,3.254268,
Player Green,(38.89,0.69, 45.60),3,ENGAGE_IN_COMBAT,19,2,2,12.83167,
Player Yellow,(-5.13,0.69, -32.60),0,I_GOT_HIT,13,3,6,3.620992,
Player Red,(15.81,0.71, 57.69),3,ENGAGE_IN_COMBAT,30,4,4,7.28533,
Player Blue,(13.00,0.67, 55.05),6,I_GOT_HIT,30,6,3,3.273878,
Player Green,(9.92,0.69, 57.29),3,ENGAGE_IN_COMBAT,25,2,2,13.34742,
Player Yellow,(5.52,0.67, 31.98),0,ENGAGE_IN_COMBAT,18,3,6,3.641275,
Player Red,(-16.59,0.7, 55.17),3,I_GOT_HIT,31,5,5,7.28533,
Player Blue,(-23.38,0.71, 56.03),6,ENGAGE_IN_COMBAT,30,6,3,3.273878,
Player Green,(-17.04,0.68, 31.51),3,ENGAGE_IN_COMBAT,26,2,2,13.34742,
Player Yellow,(-7.45,0.7, 59.12),0,ENGAGE_IN_COMBAT,20,3,6,3.641275,
Player Red,(-9.82,0.71, 18.83),3,ENGAGE_IN_COMBAT,31,5,5,7.28533,
Player Blue,(-51.13,0.67, 20.09),7,I_HIT_SOMEONE,31,7,3,3.273878,
Player Green,(-52.67,0.68, 15.47),2,I_GOT_HIT,27,2,3,13.34742,
Player Yellow,(-35.80,0.69, 41.82),0,NOT_IN_COMBAT,20,3,6,3.641275,
Player Red,(-0.84,0.69, 18.56),3,I_GOT_HIT,31,6,6,7.28533,
Player Blue,(-58.06,0.68, 12.75),7,ENGAGE_IN_COMBAT,31,7,3,3.273878,
Player Green,(-55.15,0.69, 11.84),2,ENGAGE_IN_COMBAT,27,2,3,13.34742,
Player Yellow,(-33.72,0.68, 35.60),0,NOT_IN_COMBAT,20,3,6,3.641275,
Player Red,(17.74,0.7, -19.54),3,ENGAGE_IN_COMBAT,31,6,6,7.28533,
Player Blue,(-30.70,0.68, -11.04),7,ENGAGE_IN_COMBAT,31,7,3,3.273878,
Player Green,(-54.73,0.67, 8.40),2,I_GOT_HIT,27,3,4,13.90811,
Player Yellow,(-16.70,0.69, 27.70),0,ENGAGE_IN_COMBAT,20,3,6,3.641275,
Player Red,(54.23,0.71, -11.20),3,ENGAGE_IN_COMBAT,33,6,6,7.28533,
Player Blue,(43.70,0.67, -19.02),8,I_HIT_SOMEONE,34,8,3,3.273878,
Player Green,(45.17,0.62, -15.09),1,I_GOT_HIT,31,3,5,14.10655,
Player Yellow,(-22.12,0.71, -43.22),0,NOT_IN_COMBAT,23,3,6,3.641275,
Player Red,(-12.95,0.69, 10.12),2,I_GOT_HIT,36,6,7,7.28533,
Player Blue,(9.62,0.71, -27.86),8,ENGAGE_IN_COMBAT,37,8,3,3.273878,
Player Green,(-10.55,0.7, 8.60),2,I_HIT_SOMEONE,34,4,5,14.52334,
Player Yellow,(24.25,0.69, 8.64),0,ENGAGE_IN_COMBAT,25,3,6,3.641275,
Player Red,(-56.40,0.71, 8.13),2,NOT_IN_COMBAT,37,6,7,7.28533,
Player Blue,(-39.46,0.7, 24.66),9,I_HIT_SOMEONE,40,9,3,3.273878,
Player Green,(-42.18,0.67, 20.52),1,I_GOT_HIT,36,4,6,15.66533,
Player Yellow,(25.67,0.71, 32.23),0,ENGAGE_IN_COMBAT,27,3,6,3.641275,
Player Red,(-56.40,0.71, 8.13),2,ENGAGE_IN_COMBAT,37,6,7,7.28533,
Player Blue,(-39.46,0.7, 24.66),10,I_HIT_SOMEONE,40,10,3,3.273878,
Player Green,(-42.18,0.67, 20.52),0,I_GOT_HIT,36,4,7,15.66533,
Player Yellow,(25.67,0.71, 32.23),0,ENGAGE_IN_COMBAT,27,3,6,3.641275,
Player Red,(-56.40,0.71, 8.13),2,ENGAGE_IN_COMBAT,37,6,7,7.28533,
Player Blue,(-39.46,0.7, 24.66),10,I_HIT_SOMEONE,40,11,3,3.273878,
Player Green,(-42.18,0.67, 20.52),0,I_GOT_HIT,36,4,8,15.66533,
Player Yellow,(25.67,0.71, 32.23),0,ENGAGE_IN_COMBAT,27,3,6,3.641275,
Player Red,(-56.40,0.71, 8.13),2,ENGAGE_IN_COMBAT,37,6,7,7.28533,
Player Blue,(-39.46,0.7, 24.66),10,I_HIT_SOMEONE,40,12,3,3.273878,
Player Green,(-42.18,0.67, 20.52),0,I_GOT_HIT,36,4,9,15.66533,
Player Yellow,(25.67,0.71, 32.23),0,ENGAGE_IN_COMBAT,27,3,6,3.641275,
Player Red,(-56.40,0.71, 8.13),2,ENGAGE_IN_COMBAT,37,6,7,7.28533,
Player Blue,(-39.46,0.7, 24.66),10,I_HIT_SOMEONE,40,13,3,3.273878,
Player Green,(-42.18,0.67, 20.52),0,I_GOT_HIT,36,4,10,15.66533,
Player Yellow,(25.67,0.71, 32.23),0,ENGAGE_IN_COMBAT,27,3,6,3.641275,
Player Red,(-56.40,0.71, 8.13),2,ENGAGE_IN_COMBAT,37,6,7,7.28533,
Player Blue,(-39.46,0.7, 24.66),10,I_GOT_HIT,40,14,4,3.273878,
Player Green,(-42.18,0.67, 20.52),0,ENGAGE_IN_COMBAT,36,4,10,15.66533,
Player Yellow,(25.67,0.71, 32.23),0,ENGAGE_IN_COMBAT,27,3,6,3.641275,
Player Red,(-56.40,0.71, 8.13),2,ENGAGE_IN_COMBAT,37,6,7,7.28533,
Player Blue,(-39.46,0.7, 24.66),10,I_GOT_HIT,40,15,5,3.273878,
Player Green,(-42.18,0.67, 20.52),0,ENGAGE_IN_COMBAT,36,4,10,15.66533,
Player Yellow,(25.67,0.71, 32.23),0,ENGAGE_IN_COMBAT,27,3,6,3.641275,
Player Red,(-56.40,0.71, 8.13),2,ENGAGE_IN_COMBAT,37,6,7,7.28533,
